name,principal,driver_loyalty,expectation_level,performance_rating,engineering_weight,engineering_drag,engineering_power
Comtoyou Racing,Jean-Michel Baert,,,,,,
Copeland Motorsports,Copeland Motorsports,,,,,,
Copeland Motorsports / GMG Racing,Copeland Motorsports / GMG Racing,,,,,,
Corvette Racing by Pratt Miller Motorsports,Laura Wontrop Klauser,,,,,,
Craft-Bamboo Racing,Darryl O'Young,,,,,,
CrowdStrike Racing by APR,George Kurtz,,,,,,
Crown Racing,William Lube,,,,,,
Czabok-Simpson Motorsport,Czabok-Simpson Motorsport,,,,,,
DKR Engineering,DKR Engineering,,,,,,
Debard Automobiles by Racetivity,Debard Automobiles by Racetivity,,,,,,
Di Benedetto Racing,Di Benedetto Racing,,,,,,
Dinamic GT,Dinamic GT,,,,,,
Dinamic Motorsport,Dinamic Motorsport,,,,,,
Dollahite Racing,Dollahite Racing,,,,,,
Dream Machine @ Eagles Canyon,Dream Machine @ Eagles Canyon,,,,,,
E3 Sport,E3 Sport,,,,,,
Eagles Canyon w/Fast Track,Eagles Canyon w/Fast Track,,,,,,
Ecurie Ecosse powered by Barwell,Ecurie Ecosse powered by Barwell,,,,,,
Eden Motorsport,Eden Motorsport,,,,,,
Elite Motorsport,Elite Motorsport,,,,,,
Emil Frey Racing,Lorenz Frey-Hilti,,,,,,
Era Motorsport,Kyle Tilley,,,,,,
Espace Racing,Espace Racing,,,,,,
EuroInternational,EuroInternational,,,,,,
Excelr8 Motorsport,Excelr8 Motorsport,,,,,,
Falken Motorsports,Falken Motorsports,,,,,,
Fanta Racing Legend by Code Classic,Fanta Racing Legend by Code Classic,,,,,,
FastMD Racing with Remstar,FastMD Racing with Remstar,,,,,,
Ferrari AF Corse,Antonello Coletta,,,,,,
Ferrari of Beverly Hills,Ferrari of Beverly Hills,,,,,,
Ferrari of Fort Lauderdale,Ferrari of Fort Lauderdale,,,,,,
Ferrari of Houston,Ferrari of Houston,,,,,,
Ferrari of Ontario,Ferrari of Ontario,,,,,,
Ferrari of Quebec,Ferrari of Quebec,,,,,,
Ferrari of San Diego,Ferrari of San Diego,,,,,,
Ferrari of Vancouver,Ferrari of Vancouver,,,,,,
Ford Racing,Mark Rushbrook,,,,,,
Forte Racing,Forte Racing,,,,,,
Forty7 Motorsports,Forty7 Motorsports,,,,,,
GBR Stratton Motorsport,GBR Stratton Motorsport,,,,,,
GFS Racing,GFS Racing,,,,,,
GMG Racing,GMG Racing,,,,,,
GR Racing,GR Racing,,,,,,
Garage 59,Andrew Kirkaldy,,,,,,
Gebhardt Motorsport,Gebhardt Motorsport,,,,,,
Genesis Magma Racing,Cyril Abiteboul,,,,,,
German Motor Sports Team,German Motor Sports Team,,,,,,
GetSpeed,Adam Osieka,,,,,,
Goldcrest Motorsports,Goldcrest Motorsports,,,,,,
Goroyan RT by Car Collection,Goroyan RT by Car Collection,,,,,,
Grange Racing by FSR,Grange Racing by FSR,,,,,,
Grasser Racing Team,Gottfried Grasser,,,,,,
Graves Motorsport,Graves Motorsport,,,,,,
Haupt Racing Team,Haupt Racing Team,,,,,,
Heart of Racing Team,Ian James,,,,,,
High Class Racing,High Class Racing,,,,,,
Hollingshead Performance,Hollingshead Performance,,,,,,
IDEC Sport,IDEC Sport,,,,,,
Ineco - MP Racing,Ineco - MP Racing,,,,,,
Innovation Racing,Innovation Racing,,,,,,
Inter Europol Competition,Sascha Fassbender,,,,,,
Intersport Racing,Jon Field,,,,,,
Iron Lynx,Andrea Piccini,,,,,,
JDC-Miller MotorSports,John Church,,,,,,
JDX Racing,JDX Racing,,,,,,
JMF Motorsports,JMF Motorsports,,,,,,
JTR,JTR,,,,,,
JTR Motorsports Engineering,JTR Motorsports Engineering,,,,,,
Johor Motorsports Racing,Tunku Abdul Rahman,,,,,,
Juta Racing,Juta Racing,,,,,,
KMW Motorsports with TMR Engineering,KMW Motorsports with TMR Engineering,,,,,,
Kellymoss,Kellymoss,,,,,,
Kessel Racing,Ronnie Kessel,,,,,,
Kingpin Racing,Kingpin Racing,,,,,,
Lake Forest Sportscars,Lake Forest Sportscars,,,,,,
Lawrence Davey Racing,Lawrence Davey Racing,,,,,,
Leipert Motorsport,Leipert Motorsport,,,,,,
Lionspeed GP,Lionspeed GP,,,,,,
Looping by CarTech,Looping by CarTech,,,,,,
M Racing,M Racing,,,,,,
MAD Joker by Lone Star Racing,MAD Joker by Lone Star Racing,,,,,,
MDD Motorsport,MDD Motorsport,,,,,,
MDK Motorsports,MDK Motorsports,,,,,,
MK Racing,MK Racing,,,,,,
MKH Racing,MKH Racing,,,,,,
Mad Joker Racing,Mad Joker Racing,,,,,,
Madpanda Motorsport,Ezequiel Perez Companc,,,,,,
Mahiki Racing,Mahiki Racing,,,,,,
Manthey DK Engineering,Nicolas Raeder,,,,,,
Manthey Racing,Nicolas Raeder,,,,,,
Martinet by Almeras,Martinet by Almeras,,,,,,
McCann Racing,McCann Racing,,,,,,
McCumbee McAleer Racing,McCumbee McAleer Racing,,,,,,
Mercedes-AMG Team Getspeed,Mercedes-AMG Team Getspeed,,,,,,
Mercedes-AMG Team GruppeM,Kenny Chen,,,,,,
Mercedes-AMG Team Schnitzelalm,Mercedes-AMG Team Schnitzelalm,,,,,,
Micanek Motorsport powered by Buggyra,Micanek Motorsport powered by Buggyra,,,,,,
Misano Racing Team,Misano Racing Team,,,,,,
More Motorsport,More Motorsport,,,,,,
Motor Service,Motor Service,,,,,,
Nielsen Racing,Nielsen Racing,,,,,,
Nourry Competition,Nourry Competition,,,,,,
OQ by Oman Racing,Ahmad Al Harthy,,,,,,
Oakfield Motorsport,Oakfield Motorsport,,,,,,
Octane126,Octane126,,,,,,
Ombra Racing,Ombra Racing,,,,,,
Optimum Motorsport,Shaun Goff,,,,,,
Orange Racing by JMH,Orange Racing by JMH,,,,,,
Oregon Team,Oregon Team,,,,,,
P1 Motor Club x Murillo Racing,P1 Motor Club x Murillo Racing,,,,,,
PROsport-Racing,PROsport-Racing,,,,,,
Pace Performance,Pace Performance,,,,,,
Paddock Motorsport,Paddock Motorsport,,,,,,
Panam Racing,Panam Racing,,,,,,
Paradine Competition,Paradine Competition,,,,,,
Paul Miller Racing,Paul Miller,,,,,,
Paul Motorsport,Paul Motorsport,,,,,,
Performance One,Performance One,,,,,,
Performance Tech Motorsports,Performance Tech Motorsports,,,,,,
Peugeot TotalEnergies,Olivier Jansonnie,,,,,,
Pfaff Motorsports,Steve Bortolotti,,,,,,
Plusline Motorsport,Plusline Motorsport,,,,,,
Porsche Penske Motorsport,Roger Penske,,,,,,
Pratt Miller Motorsports,Gary Pratt,,,,,,
Project R,Project R,,,,,,
Proton Competition,Christian Ried,,,,,,
R Racing,R Racing,,,,,,
R-ace GP,R-ace GP,,,,,,
RAFA Racing Team,RAFA Racing Team,,,,,,
RLL Team McLaren,Bobby Rahal,,,,,,
ROWE Racing,Hans-Peter Naundorf,,,,,,
RS1,RS1,,,,,,
RTS Motorsport,RTS Motorsport,,,,,,
RVA Graphics Motorsports by Speed Syndicate,RVA Graphics Motorsports by Speed Syndicate,,,,,,
Racing Spirit of Leman,Racing Spirit of Leman,,,,,,
Racing Team Turkey by TF,Salih Yoluc,,,,,,
Random Vandals Racing,Random Vandals Racing,,,,,,
Rebel Rock Racing,Rebel Rock Racing,,,,,,
Rexal Villorba Corse,Rexal Villorba Corse,,,,,,
Richard Mille AF Corse,Richard Mille AF Corse,,,,,,
Riley Technologies,Riley Technologies,,,,,,
Rinaldi Racing,Michele Rinaldi,,,,,,
Risi Competizione,Giuseppe Risi,,,,,,
Rockwell Autosport Development,Rockwell Autosport Development,,,,,,
Rodin Motorsport,David Dicker,,,,,,
Ron Tonkin Gran Turismo,Ron Tonkin Gran Turismo,,,,,,
Rosland Gold by Century Motorsport,Rosland Gold by Century Motorsport,,,,,,
Rossocorsa,Rossocorsa,,,,,,
Ruckus Racing,Ruckus Racing,,,,,,
Rutronik Racing,Klaus Graf,,,,,,
SP Motorsports,SP Motorsports,,,,,,
ST Racing by Random Vandals Racing,ST Racing by Random Vandals Racing,,,,,,
Sainteloc Racing,Sainteloc Racing,,,,,,
Scherer Sport PHX,Scherer Sport PHX,,,,,,
Schumacher CLRT,Schumacher CLRT,,,,,,
Scott Sport,Scott Sport,,,,,,
Scuderia Autoropa,Scuderia Autoropa,,,,,,
Scuderia Praha,Scuderia Praha,,,,,,
Shopify Racing powered by TWOth,Shopify Racing powered by TWOth,,,,,,
Smyrlis Racing,Smyrlis Racing,,,,,,
Sovereign GT Stable,Alistair Thorne,,,,,,
Spark Motorsport,Spark Motorsport,,,,,,
Speed Motorsports Management,Speed Motorsports Management,,,,,,
Spirit of Race,Spirit of Race,,,,,,
Stallion Motorsports,Tammy Burkhart,,,,,,
Stephen Cameron Racing,Stephen Cameron Racing,,,,,,
StileF Squadra Corse,StileF Squadra Corse,,,,,,
Storic and Race Cars,Storic and Race Cars,,,,,,
Stuttgart Performance Engineering,Sebastian Wolff,,,,,,
Sussex Road & Race,Sussex Road & Race,,,,,,
Switch Racing,Switch Racing,,,,,,
TB Autosports,TB Autosports,,,,,,
TCR,David Thompson,,,,,,
TDS Racing,Xavier Combet,,,,,,
TF Sport,Tom Ferrier,,,,,,
TFT Racing,TFT Racing,,,,,,
TR3 Racing,TR3 Racing,,,,,,
Target Competition,Target Competition,,,,,,
Target Racing,Target Racing,,,,,,
Team Advan x HRT,Team Advan x HRT,,,,,,
Team Dynamics,Team Dynamics,,,,,,
Team GP Elite,Team GP Elite,,,,,,
Team Motopark,Team Motopark,,,,,,
Team Parker Racing,Team Parker Racing,,,,,,
Team Penske,Jonathan Diuguid,,,,,,
Team Qatar by Iron Lynx,Team Qatar by Iron Lynx,,,,,,
Team TGM,Team TGM,,,,,,
Team Virage,Team Virage,,,,,,
Team WRT,Vincent Vosse,,,,,,
TechSport Racing,TechSport Racing,,,,,,
The Bend Manthey,Nicolas Raeder,,,,,,
The Collection,The Collection,,,,,,
Titanium Endurance Racing,Laurent Beaumont,,,,,,
Toney Driver Development,Toney Driver Development,,,,,,
Topp Racing,Topp Racing,,,,,,
Toro Verde GT,Toro Verde GT,,,,,,
Tower Motorsports,John Farano,,,,,,
Townsend Racing,Townsend Racing,,,,,,
Toyo Tires with Ring Racing,Toyo Tires with Ring Racing,,,,,,
Toyota Racing,Kamui Kobayashi,,,,,,
Triarsi Competizione,Triarsi Competizione,,,,,,
Turner Motorsport,Turner Motorsport,,,,,,
UNIQ Racing,UNIQ Racing,,,,,,
Ultimate,Ultimate,,,,,,
United Autosports,United Autosports,,,,,,
United Autosports USA,Richard Dean,,,,,,
VRC,VRC,,,,,,
VSR,VSR,,,,,,
Vanguard Motorsport Group,Sebastian Wolff,,,,,,
Vasser Sullivan Racing,James Sullivan,,,,,,
Vector Dynamics Racing,Pierre Lefèvre,,,,,,
Vector Sport,Vector Sport,,,,,,
Vector Sport RLR,Vector Sport RLR,,,,,,
Velocity UK Developments,Emma Richardson,,,,,,
Verstappen.com Racing,Raymond Vermeulen,,,,,,
Via-Marelli Competizione,Isabella Marelli,,,,,,
Victor Gonzalez Racing Team,Victor Gonzalez Racing Team,,,,,,
Vista AF Corse,Amato Ferrari,,,,,,
W&S Motorsport,W&S Motorsport,,,,,,
WSR Flexifly,WSR Flexifly,,,,,,
Wayne Taylor Racing,Wayne Taylor Racing,,,,,,
Winward Racing,Bryce Ward,,,,,,
Wright Motorsports,Wright Motorsports,,,,,,
XONINE Racing,XONINE Racing,,,,,,
XQS Team Parker Racing,XQS Team Parker Racing,,,,,,
Zenith Autosport,James Harrington,,,,,,
