name,surname,championship_name,category,team_name,end_year,expected_standing,team_loyalty,country,dob,elo,race_skill,qualifying_skill,aggression,defending,stamina,consistency,start_reactions,wet_skill,tyre_management,fuel_management,blue_flag_conceding,weather_tyre_changes,avoidance_of_mistakes,avoidance_of_forced_mistakes,setup_downforce
Matthew,Graham,Porsche Carrera Cup UK,Carrera Cup,Eden Motorsport,2026,16,0.78,GBR,1996/01/01,1710,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.50
Harry,Tincknell,World Endurance Championship,LMDh,Aston Martin THOR Team,2026,7,0.82,GBR,1991/10/29,1890,0.79,0.81,0.73,0.76,0.78,0.77,0.76,0.80,0.77,0.76,0.74,0.78,0.77,0.76,0.62
Marco,Sorensen,World Endurance Championship,LMDh,Aston Martin THOR Team,2026,8,0.76,DNK,1990/09/06,1880,0.78,0.78,0.72,0.75,0.77,0.76,0.75,0.76,0.76,0.75,0.73,0.74,0.76,0.75,0.66
Kamui,Kobayashi,World Endurance Championship,LMDh,Toyota Racing,2026,4,0.82,JPN,1986/9/13,1985,0.85,0.85,0.81,0.82,0.84,0.86,0.82,0.86,0.85,0.84,0.80,0.84,0.86,0.85,0.59
Sebastien,Buemi,World Endurance Championship,LMDh,Toyota Racing,2026,3,0.82,CHE,1988/10/31,1990,0.85,0.85,0.79,0.82,0.84,0.86,0.82,0.86,0.85,0.84,0.80,0.84,0.86,0.85,0.61
Norman,Nato,World Endurance Championship,LMDh,Cadillac Hertz Team Jota,2026,16,0.70,FRA,1992/07/08,1825,0.75,0.75,0.69,0.72,0.74,0.73,0.72,0.73,0.73,0.72,0.70,0.71,0.73,0.72,0.49
Earl,Bamber,World Endurance Championship,LMDh,Cadillac Hertz Team Jota,2026,17,0.70,NZL,1990/7/9,1845,0.76,0.76,0.70,0.73,0.75,0.74,0.73,0.74,0.74,0.73,0.71,0.72,0.74,0.73,0.50
Kevin,Magnussen,World Endurance Championship,LMDh,BMW M Team WRT,2026,2,0.82,DNK,1992/10/05,1960,0.83,0.83,0.79,0.80,0.82,0.81,0.80,0.81,0.81,0.80,0.78,0.79,0.81,0.80,0.54
Robin,Frijns,World Endurance Championship,LMDh,BMW M Team WRT,2026,1,0.82,NLD,1991/08/07,1980,0.85,0.85,0.79,0.82,0.84,0.86,0.82,0.83,0.85,0.84,0.80,0.81,0.86,0.85,0.62
Pipo,Derani,World Endurance Championship,LMDh,Genesis Magma Racing,2026,14,0.76,BRA,1993/10/12,1865,0.77,0.77,0.73,0.74,0.76,0.75,0.74,0.75,0.75,0.74,0.72,0.73,0.75,0.74,0.53
Andre,Lotterer,World Endurance Championship,LMDh,Genesis Magma Racing,2026,15,0.70,DEU,1981/11/19,1880,0.78,0.78,0.72,0.75,0.77,0.76,0.75,0.76,0.76,0.75,0.73,0.74,0.76,0.75,0.61
Antonio Felix,da Costa,World Endurance Championship,LMDh,Alpine Endurance Team,2026,9,0.76,PRT,1991/8/31,1910,0.80,0.80,0.74,0.77,0.79,0.78,0.77,0.78,0.78,0.77,0.75,0.76,0.78,0.77,0.55
Jules,Gounon,World Endurance Championship,LMDh,Alpine Endurance Team,2026,10,0.76,FRA,1994/12/31,1885,0.79,0.81,0.73,0.76,0.78,0.77,0.76,0.77,0.77,0.76,0.74,0.75,0.77,0.76,0.66
Antonio,Fuoco,World Endurance Championship,LMDh,Ferrari AF Corse,2026,5,0.82,ITA,1996/5/20,1975,0.84,0.86,0.78,0.81,0.83,0.82,0.81,0.82,0.82,0.81,0.79,0.80,0.82,0.81,0.55
James,Calado,World Endurance Championship,LMDh,Ferrari AF Corse,2026,6,0.82,GBR,1989/06/13,1965,0.84,0.84,0.78,0.81,0.83,0.85,0.81,0.82,0.84,0.83,0.79,0.80,0.85,0.84,0.52
Robert,Kubica,World Endurance Championship,LMDh,AF Corse,2026,11,0.76,POL,1984/12/07,1880,0.78,0.78,0.72,0.75,0.77,0.79,0.75,0.76,0.76,0.75,0.73,0.74,0.79,0.78,0.54
Nick,Cassidy,World Endurance Championship,LMDh,Peugeot TotalEnergies,2026,12,0.76,NZL,1994/08/19,1900,0.79,0.81,0.73,0.76,0.78,0.77,0.76,0.77,0.77,0.76,0.74,0.75,0.77,0.76,0.60
Loic,Duval,World Endurance Championship,LMDh,Peugeot TotalEnergies,2026,13,0.76,FRA,1982/06/12,1840,0.76,0.76,0.70,0.73,0.75,0.74,0.73,0.74,0.74,0.73,0.71,0.72,0.74,0.73,0.57
Marvin,Kirchhofer,World Endurance Championship,GT3_Gen2,Garage 59,2026,2,0.82,DEU,1994/3/19,1835,0.75,0.77,0.69,0.72,0.74,0.73,0.72,0.73,0.73,0.72,0.70,0.71,0.73,0.72,0.51
Benjamin,Goethe,World Endurance Championship,GT3_Gen2,Garage 59,2026,18,0.70,DEU,2003/11/24,1715,0.67,0.67,0.61,0.64,0.66,0.65,0.64,0.65,0.65,0.64,0.70,0.63,0.65,0.64,0.49
Alessio,Rovera,World Endurance Championship,GT3_Gen2,Vista AF Corse,2026,6,0.82,ITA,1995/06/22,1815,0.74,0.74,0.68,0.71,0.73,0.75,0.71,0.72,0.72,0.71,0.70,0.70,0.75,0.74,0.51
Davide,Rigon,World Endurance Championship,GT3_Gen2,Vista AF Corse,2026,13,0.76,ITA,1986/08/26,1775,0.71,0.71,0.65,0.68,0.70,0.69,0.68,0.72,0.69,0.68,0.70,0.70,0.69,0.68,0.44
Jonny,Adam,World Endurance Championship,GT3_Gen2,Heart of Racing Team,2026,11,0.76,GBR,1984/09/04,1785,0.72,0.72,0.66,0.69,0.71,0.70,0.69,0.70,0.70,0.69,0.70,0.68,0.70,0.69,0.44
Mattia,Drudi,World Endurance Championship,GT3_Gen2,Heart of Racing Team,2026,12,0.76,ITA,1998/7/16,1805,0.73,0.75,0.67,0.70,0.72,0.71,0.70,0.71,0.71,0.70,0.70,0.69,0.71,0.70,0.40
Augusto,Farfus,World Endurance Championship,GT3_Gen2,Team WRT,2026,10,0.76,BRA,1983/09/03,1795,0.73,0.73,0.67,0.70,0.72,0.71,0.70,0.71,0.71,0.70,0.70,0.69,0.71,0.70,0.40
Dan,Harper,World Endurance Championship,GT3_Gen2,Team WRT,2026,3,0.82,GBR,2000/12/08,1830,0.75,0.77,0.71,0.72,0.74,0.73,0.72,0.73,0.73,0.72,0.70,0.71,0.73,0.72,0.46
Nicky,Catsburg,World Endurance Championship,GT3_Gen2,TF Sport,2026,4,0.82,NLD,1988/02/15,1825,0.75,0.77,0.69,0.72,0.74,0.73,0.72,0.76,0.75,0.74,0.70,0.74,0.73,0.72,0.55
Charlie,Eastwood,World Endurance Championship,GT3_Gen2,Racing Team Turkey by TF,2026,9,0.76,IRL,1995/08/11,1790,0.72,0.72,0.66,0.69,0.71,0.70,0.69,0.70,0.70,0.69,0.70,0.68,0.70,0.69,0.40
Maxime,Martin,World Endurance Championship,GT3_Gen2,Iron Lynx,2026,15,0.70,BEL,1986/3/20,1765,0.71,0.71,0.65,0.68,0.70,0.69,0.68,0.69,0.69,0.68,0.70,0.67,0.69,0.68,0.40
Matteo,Cressoni,World Endurance Championship,GT3_Gen2,Iron Lynx,2026,16,0.70,ITA,1984/10/28,1745,0.69,0.69,0.63,0.66,0.68,0.67,0.66,0.67,0.67,0.66,0.70,0.65,0.67,0.66,0.44
Sebastian,Priaulx,World Endurance Championship,GT3_Gen2,Proton Competition,2026,14,0.76,GBR,2001/01/18,1770,0.71,0.71,0.65,0.68,0.70,0.69,0.68,0.69,0.69,0.68,0.70,0.67,0.69,0.68,0.55
Logan,Sargeant,World Endurance Championship,GT3_Gen2,Proton Competition,2026,8,0.76,USA,2000/12/31,1800,0.73,0.73,0.69,0.70,0.72,0.71,0.70,0.71,0.71,0.70,0.70,0.69,0.71,0.70,0.47
Jose Maria,Lopez,World Endurance Championship,GT3_Gen2,Akkodis ASP Team,2026,7,0.82,ARG,1983/04/26,1810,0.74,0.74,0.68,0.71,0.73,0.72,0.71,0.72,0.74,0.73,0.70,0.70,0.72,0.71,0.46
Hadrien,David,World Endurance Championship,GT3_Gen2,Akkodis ASP Team,2026,17,0.70,FRA,2004/02/26,1725,0.68,0.68,0.62,0.65,0.67,0.66,0.65,0.66,0.66,0.65,0.70,0.64,0.66,0.65,0.54
Ayhancan,Guven,World Endurance Championship,GT3_Gen2,Manthey DK Engineering,2026,5,0.82,TUR,1998/01/02,1820,0.74,0.76,0.70,0.71,0.73,0.72,0.71,0.72,0.72,0.71,0.70,0.70,0.72,0.71,0.51
Richard,Lietz,World Endurance Championship,GT3_Gen2,The Bend Manthey,2026,1,0.82,AUT,1983/12/17,1840,0.76,0.76,0.70,0.73,0.75,0.77,0.73,0.77,0.76,0.75,0.71,0.75,0.77,0.76,0.46
Tijmen,van der Helm,IMSA WeatherTech SportsCar Championship,LMDh,JDC-Miller MotorSports,2026,11,0.76,NLD,2004/01/26,1810,0.74,0.74,0.68,0.71,0.73,0.72,0.71,0.72,0.72,0.71,0.70,0.70,0.72,0.71,0.57
Kevin,Estre,IMSA WeatherTech SportsCar Championship,LMDh,Porsche Penske Motorsport,2026,5,0.82,FRA,1988/10/28,1975,0.84,0.86,0.78,0.81,0.83,0.85,0.81,0.85,0.84,0.83,0.79,0.83,0.85,0.84,0.57
Felipe,Nasr,IMSA WeatherTech SportsCar Championship,LMDh,Porsche Penske Motorsport,2026,2,0.82,BRA,1992/8/21,1990,0.85,0.87,0.81,0.82,0.84,0.86,0.82,0.83,0.85,0.84,0.80,0.81,0.86,0.85,0.54
Filipe,Albuquerque,IMSA WeatherTech SportsCar Championship,LMDh,Cadillac Wayne Taylor Racing,2026,7,0.76,PRT,1985/06/13,1900,0.79,0.79,0.73,0.76,0.78,0.77,0.76,0.77,0.77,0.76,0.74,0.75,0.77,0.76,0.50
Louis,Deletraz,IMSA WeatherTech SportsCar Championship,LMDh,Cadillac Wayne Taylor Racing,2026,8,0.76,CHE,1997/4/22,1885,0.79,0.79,0.73,0.76,0.78,0.77,0.76,0.77,0.77,0.76,0.74,0.75,0.77,0.76,0.58
Roman,De Angelis,IMSA WeatherTech SportsCar Championship,LMDh,Aston Martin THOR Team,2026,10,0.76,CAN,2001/02/15,1835,0.75,0.75,0.69,0.72,0.74,0.73,0.72,0.73,0.73,0.72,0.70,0.71,0.73,0.72,0.57
Dries,Vanthoor,IMSA WeatherTech SportsCar Championship,LMDh,BMW M Team WRT,2026,4,0.82,BEL,1998/4/20,1965,0.84,0.86,0.78,0.81,0.83,0.82,0.81,0.85,0.82,0.81,0.79,0.83,0.82,0.81,0.65
Philipp,Eng,IMSA WeatherTech SportsCar Championship,LMDh,BMW M Team WRT,2026,9,0.76,AUT,1990/02/28,1875,0.78,0.78,0.72,0.75,0.77,0.76,0.75,0.76,0.76,0.75,0.73,0.74,0.76,0.75,0.59
Jack,Aitken,IMSA WeatherTech SportsCar Championship,LMDh,Cadillac Whelen,2026,1,0.82,GBR,1995/09/23,1980,0.85,0.87,0.81,0.82,0.84,0.86,0.82,0.83,0.83,0.82,0.80,0.81,0.86,0.85,0.56
Tom,Blomqvist,IMSA WeatherTech SportsCar Championship,LMDh,Acura Meyer Shank Racing,2026,6,0.76,GBR,1993/11/30,1935,0.82,0.84,0.76,0.79,0.81,0.80,0.79,0.83,0.82,0.81,0.77,0.81,0.80,0.79,0.52
Nick,Yelloly,IMSA WeatherTech SportsCar Championship,LMDh,Acura Meyer Shank Racing,2026,3,0.82,GBR,1990/12/03,1950,0.83,0.83,0.77,0.80,0.82,0.81,0.80,0.81,0.81,0.80,0.78,0.79,0.81,0.80,0.58
Malthe,Jakobsen,IMSA WeatherTech SportsCar Championship,LMP2,CrowdStrike Racing by APR,2026,2,0.82,DNK,2003/10/29,1810,0.74,0.76,0.68,0.71,0.73,0.72,0.71,0.72,0.72,0.71,0.70,0.70,0.72,0.71,0.61
Mikkel,Jensen,IMSA WeatherTech SportsCar Championship,LMP2,United Autosports USA,2026,1,0.82,DNK,1994/12/31,1825,0.75,0.75,0.69,0.72,0.74,0.73,0.72,0.73,0.73,0.72,0.70,0.71,0.73,0.72,0.55
Paul,di Resta,IMSA WeatherTech SportsCar Championship,LMP2,United Autosports USA,2026,3,0.82,GBR,1986/4/16,1805,0.73,0.73,0.67,0.70,0.72,0.71,0.70,0.71,0.73,0.72,0.70,0.69,0.71,0.70,0.59
Sebastien,Bourdais,IMSA WeatherTech SportsCar Championship,LMP2,Tower Motorsports,2026,4,0.82,FRA,1979/02/28,1800,0.73,0.73,0.69,0.70,0.72,0.71,0.70,0.71,0.71,0.70,0.70,0.69,0.71,0.70,0.55
Charles,Milesi,IMSA WeatherTech SportsCar Championship,LMP2,TDS Racing,2026,5,0.82,FRA,2001/03/04,1785,0.72,0.72,0.66,0.69,0.71,0.70,0.69,0.70,0.70,0.69,0.70,0.68,0.70,0.69,0.50
Ferdinand,Habsburg,IMSA WeatherTech SportsCar Championship,LMP2,Era Motorsport,2026,6,0.76,AUT,1997/06/21,1780,0.72,0.72,0.66,0.69,0.71,0.70,0.69,0.70,0.70,0.69,0.70,0.68,0.70,0.69,0.61
