championship_name,track_id,name,month,week_end,mandatory,type,duration,start_time
Stock Light Brasil,Velopark_2017,Desafio Velopark,3,3,FALSE,time,40,
Stock Light Brasil,GoianiaOuter,Corrida de Duplas,4,1,FALSE,time,40,
Stock Light Brasil,Interlagos_SCB,Corrida do Milhão,5,1,FALSE,time,40,
Stock Light Brasil,Cascavel2,GP Oeste Paranaense,5,3,FALSE,time,40,
Stock Light Brasil,Brasilia_Outer,Grande Prêmio de Brasília,6,1,FALSE,time,40,
Stock Light Brasil,CuritibaInternacional,Grande Prêmio Internacional de Curitiba,6,3,FALSE,time,40,
Stock Light Brasil,SantaCruzDoSul,Troféu Serra Gaúcha,7,1,FALSE,time,40,
Stock Light Brasil,Taruma_Internacional,Desafio Internacional Tarumã,7,3,FALSE,time,40,
Stock Light Brasil,Londrina_long,Grande Prêmio Norte do Paraná,8,1,FALSE,time,40,
Stock Light Brasil,CampoGrande1,GP Centro-Oeste,8,3,FALSE,time,40,
Stock Light Brasil,Curitiba_outer,Desafio de Curitiba,9,1,FALSE,time,40,
Stock Light Brasil,GoianiaMixed,Troféu Goiânia,9,3,FALSE,time,40,
Stock Light Brasil,CurveloLong,Desafio dos Cristais,10,2,FALSE,time,40,
Stock Light Brasil,Brasilia_Full,Super Final,11,1,TRUE,time,40,
NASCAR Cup Series (Next Gen),Daytona_Speedway_Tri_Oval,Daytona 500,2,2,TRUE,laps,200,
NASCAR Cup Series (Next Gen),Daytona_Nascar_Road_Course,Autotrader 400,2,3,FALSE,laps,113,
NASCAR Cup Series (Next Gen),Fontana_OVAL,Goodyear 400,3,2,TRUE,laps,200,
NASCAR Cup Series (Next Gen),Road_America_RC,Cook Out 300,3,3,FALSE,laps,74,
NASCAR Cup Series (Next Gen),Gateway_OVAL,Enjoy Illinois 500,4,2,TRUE,laps,400,
NASCAR Cup Series (Next Gen),Road_Atlanta,Cracker Barrel 300,4,3,FALSE,laps,118,
NASCAR Cup Series (Next Gen),Indianapolis_2022_Oval,Coca-Cola 600,5,2,TRUE,laps,240,
NASCAR Cup Series (Next Gen),Virginia_Full,Anduril 250,5,3,FALSE,laps,77,
NASCAR Cup Series (Next Gen),Pocono_Oval,Yellawood 500,6,2,TRUE,laps,200,
NASCAR Cup Series (Next Gen),Watkins_Glen_GPIL,Go Bowling at The Glen,6,3,TRUE,laps,100,
NASCAR Cup Series (Next Gen),Gateway_OVAL,Pennzoil 400,7,2,TRUE,laps,320,
NASCAR Cup Series (Next Gen),Road_America_RCB,Toyota 350,7,3,FALSE,laps,87,
NASCAR Cup Series (Next Gen),Pocono_Oval,Jack Link's 500,8,2,TRUE,laps,200,
NASCAR Cup Series (Next Gen),Sebring,Xfinity 500,8,3,FALSE,laps,138,
NASCAR Cup Series (Next Gen),Fontana_OVAL,Ambetter Health 500,9,2,TRUE,laps,250,
NASCAR Cup Series (Next Gen),Indianapolis_2022_Oval,Brickyard 400,10,2,TRUE,laps,160,
NASCAR Cup Series (Next Gen),Indianapolis_2022_RC,GEICO 300,10,3,FALSE,laps,123,
NASCAR Cup Series (Next Gen),Daytona_Speedway_Tri_Oval,Finale at Daytona,11,2,FALSE,laps,240,
NASCAR Second Division (Next Gen),Daytona_Speedway_Tri_Oval,United Rentals 300,2,2,TRUE,laps,120,
NASCAR Second Division (Next Gen),Daytona_Nascar_Road_Course,King of Tough 200,2,3,FALSE,laps,57,
NASCAR Second Division (Next Gen),Fontana_OVAL,ToyotaCare 250,3,2,TRUE,laps,125,
NASCAR Second Division (Next Gen),Road_Atlanta,Ag-Pro 150,3,3,FALSE,laps,59,
NASCAR Second Division (Next Gen),Gateway_OVAL,BetMGM 300,4,2,TRUE,laps,240,
NASCAR Second Division (Next Gen),Sebring,HyVee Perks 200,4,3,FALSE,laps,55,
NASCAR Second Division (Next Gen),Indianapolis_2022_Oval,Pennzoil 250,5,2,TRUE,laps,100,
NASCAR Second Division (Next Gen),Pocono_RC1,Cabo Wabo 150,6,2,FALSE,laps,60,
NASCAR Second Division (Next Gen),Pocono_Oval,GOVX 200,6,3,TRUE,laps,80,
NASCAR Second Division (Next Gen),Pocono_RC4,SciAps 150,7,2,FALSE,laps,110,
NASCAR Second Division (Next Gen),Daytona_Nascar_Road_Course,Hard Rock Bet 150,7,3,FALSE,laps,43,
NASCAR Second Division (Next Gen),Daytona_Speedway_Tri_Oval,Andy's Frozen Custard 300,8,1,TRUE,laps,120,
NASCAR Second Division (Next Gen),Pocono_Oval,Explore The Pocono Mountains 225,9,1,TRUE,laps,90,
NASCAR Second Division (Next Gen),Watkins_Glen_GPIL,Mission 200 at the Glen,9,2,FALSE,laps,58,
NASCAR Second Division (Next Gen),Indianapolis_2022_Oval,Food City 300,10,1,TRUE,laps,120,
NASCAR Second Division (Next Gen),Indianapolis_2022_RC,NFPA 200,10,2,FALSE,laps,82,
NASCAR Second Division (Next Gen),Road_America_RC,The Progress Group 150,10,4,FALSE,laps,37,
NASCAR Second Division (Next Gen),Gateway_OVAL,BetMGM 300,11,2,TRUE,laps,240,
NASCAR Second Division (Next Gen),Gateway_RC2,Nalley Cars 200,11,3,FALSE,laps,100,
NASCAR Second Division (Next Gen),Pocono_RC5,Pit Boss 150,12,1,FALSE,laps,110,
NASCAR Second Division (Next Gen),Daytona_Speedway_Tri_Oval,Finale at Daytona,12,3,TRUE,laps,200,
ARCA Menards Series (Gen 4),Daytona_Speedway_Tri_Oval,ARCA 200,2,2,TRUE,laps,80,
ARCA Menards Series (Gen 4),Daytona_Nascar_Road_Course,Ford Dealers 200,3,2,FALSE,laps,57,
ARCA Menards Series (Gen 4),Fontana_OVAL,Prairie Meadows 250,4,2,TRUE,laps,125,
ARCA Menards Series (Gen 4),Gateway_OVAL,ARCA Re/Max 250,5,2,TRUE,laps,200,
ARCA Menards Series (Gen 4),Road_Atlanta,Loud Energy Drink 150,6,3,FALSE,laps,59,
ARCA Menards Series (Gen 4),Indianapolis_2022_Oval,Menards 200,7,2,TRUE,laps,80,
ARCA Menards Series (Gen 4),Indianapolis_2022_RC,Racing for Wildlife 150,7,3,FALSE,laps,62,
ARCA Menards Series (Gen 4),Pocono_RC4,ARCA Fall Classic 150,8,2,FALSE,laps,110,
ARCA Menards Series (Gen 4),Pocono_Oval,Pennsylvania 200,8,3,TRUE,laps,80,
ARCA Menards Series (Gen 4),Pocono_RC3,Re/Max American 150,9,2,FALSE,laps,60,
ARCA Menards Series (Gen 4),Watkins_Glen_GPIL,Tire Kingdom 150,9,3,FALSE,laps,44,
ARCA Menards Series (Gen 4),Daytona_Speedway_Tri_Oval,Weis Markets 125,10,2,TRUE,laps,50,
ARCA Menards Series (Gen 4),Daytona_Nascar_Road_Course,Rattlesnake 150,10,3,FALSE,laps,43,
ARCA Menards Series (Gen 4),Gateway_OVAL,3 Amigos 250,11,2,TRUE,laps,200,
ARCA Menards Series (Gen 4),Gateway_RC2,Garden State ARCA 150,11,3,FALSE,laps,75,
ARCA Menards Series (Gen 4),Road_America_RC,ModSpace 150,12,1,FALSE,laps,37,
ARCA Menards Series (Gen 4),Indianapolis_2022_Oval,Finale at Indiana,12,3,TRUE,laps,200,
NASCAR Euro Series (Next Gen),Nurb_GP_2020,NASCAR GP Germany,3,2,TRUE,laps,15,
NASCAR Euro Series (Next Gen),BrandsHatch_GP,NASCAR GP UK,4,3,TRUE,laps,20,
NASCAR Euro Series (Next Gen),Le_Mans_Circuit_Bugatti,NASCAR GP France,5,2,TRUE,laps,18,
NASCAR Euro Series (Next Gen),Spa_Francorchamps_2020,NASCAR GP Spa,6,2,TRUE,laps,11,
NASCAR Euro Series (Next Gen),Monza_2020,NASCAR GP Italy,7,1,TRUE,laps,13,
NASCAR Euro Series (Next Gen),Hockenheim_GP,Euro Finals,9,2,TRUE,laps,17,
