name,surname,championship_name,category,team_name,end_year,expected_standing,team_loyalty,country,dob,elo,race_skill,qualifying_skill,aggression,defending,stamina,consistency,start_reactions,wet_skill,tyre_management,fuel_management,blue_flag_conceding,weather_tyre_changes,avoidance_of_mistakes,avoidance_of_forced_mistakes,setup_downforce,setup_downforce_randomness
David,Brabham,FIA GT Championship,GT1_05,Prodrive,2005,15,0.74,AUS,1965/09/05,1831,0.73,0.73,0.63,0.70,0.76,0.74,0.69,0.72,0.75,0.74,0.74,0.71,0.75,0.73,0.61,0.11
Antonio,Garcia,FIA GT Championship,GT1_05,Russian Age Racing,2005,16,0.74,ESP,1986/01/01,1828,0.73,0.72,0.63,0.69,0.75,0.74,0.69,0.71,0.74,0.74,0.73,0.70,0.74,0.73,0.61,0.12
Jan,Vonka,FIA GT Championship,GT2_05,Vonka Racing,2005,17,0.73,CZE,1963/05/17,1838,0.75,0.74,0.62,0.71,0.77,0.76,0.71,0.75,0.76,0.76,0.80,0.72,0.76,0.75,0.61,0.08
Marc,Lieb,FIA GT Championship,GT2_05,Gruppe M Racing,2005,18,0.72,DEU,1980/07/04,1836,0.74,0.74,0.62,0.71,0.77,0.75,0.70,0.75,0.76,0.75,0.80,0.72,0.76,0.74,0.61,0.08
Luca,Drudi,FIA GT Championship,GT2_05,GPC Sport,2005,19,0.72,ITA,1962/10/21,1827,0.72,0.72,0.61,0.69,0.75,0.73,0.68,0.72,0.74,0.73,0.75,0.70,0.74,0.72,0.61,0.10
Joe,Macari,FIA GT Championship,GT2_05,Cirtek Motorsport,2005,20,0.71,GBR,1966/09/27,1822,0.72,0.71,0.61,0.68,0.74,0.73,0.68,0.71,0.73,0.73,0.74,0.69,0.73,0.72,0.61,0.11
Peter,Kutemann,FIA GT Championship,GT2_05,JMB Racing,2005,21,0.71,NLD,1947/09/12,1821,0.71,0.71,0.60,0.68,0.74,0.72,0.67,0.70,0.73,0.72,0.74,0.69,0.73,0.71,0.61,0.11
Chris,Niarchos,FIA GT Championship,GT2_05,Scuderia Ecosse,2005,22,0.70,CAN,1965/05/03,1818,0.71,0.70,0.60,0.67,0.73,0.72,0.67,0.69,0.72,0.72,0.73,0.68,0.72,0.71,0.61,0.12
Nathan,Kinch,FIA GT Championship,GT2_05,Scuderia Ecosse,2005,23,0.70,GBR,1982/06/04,1816,0.70,0.69,0.59,0.67,0.73,0.71,0.66,0.69,0.72,0.71,0.73,0.68,0.72,0.70,0.61,0.12
Batti,Pregliasco,FIA GT Championship,GT2_05,GPC Sport,2005,24,0.69,ITA,1966/12/28,1816,0.70,0.69,0.59,0.67,0.73,0.71,0.66,0.69,0.72,0.71,0.74,0.68,0.72,0.70,0.61,0.11
Jason,Templeman,FIA GT Championship,GT2_05,Team LNT,2005,25,0.69,GBR,1978/02/27,1813,0.70,0.69,0.58,0.66,0.72,0.71,0.66,0.68,0.71,0.71,0.73,0.67,0.71,0.70,0.61,0.12
Dan,Eagling,FIA GT Championship,GT2_05,RaceSport,2005,26,0.68,GBR,1980/11/08,1812,0.70,0.68,0.58,0.66,0.72,0.71,0.66,0.69,0.71,0.71,0.74,0.67,0.71,0.70,0.61,0.11
Dirk,MÃ¼ller,BFGoodrich Langstreckenmeisterschaft,GTR_04,Team Schnitzer,2005,1,0.82,DEU,1975/11/18,1842,0.75,0.77,0.70,0.72,0.78,0.76,0.71,0.74,0.77,0.76,0.73,0.73,0.77,0.75,0.61,0.12
